interaction_id,ad_id,customer_id,event_type,event_time,device_type,location
2cab5166-9df8-4bfd-ad1b-519d02b89c3d,a2ac30b7-8657-4d53-90b6-7022460588bd,fe2d2529-45d7-417a-bfca-634acd7865ef,impression,2024-03-07 16:17:22,Desktop,"Port Megan, India"
49eb3921-0384-4f40-90f3-bfa6821829c7,38703614-bba8-4d15-b996-a6d9989f6784,cf582f1c-cb2d-42f9-86b3-543cb38e8262,impression,2024-10-09 18:58:24,Tablet,"New Dannyside, Swaziland"
fb818874-bc01-43ad-a566-72ee3e5f1827,ca9ba5ea-7aaa-4042-9948-7551a917a9cd,82279c79-6ce8-4a7c-9798-b94101e974e2,impression,2024-02-20 03:16:10,Mobile,"Rodriguezfort, Northern Mariana Islands"
6c0d1b03-57fc-470d-b771-011999d66cc8,6f19ec5e-73dd-4e9d-bc19-7a26f1bfc54c,b5d0d6a7-43c7-4fb2-b2e1-398ce4c146e8,impression,2023-06-16 16:50:26,Desktop,"New Pamelatown, Guyana"
e7744315-d2c3-4e1c-b160-60104b407fcd,89f8dcdb-fabb-4220-9a07-94d564f33683,d8205fa8-f03a-4890-a718-1787668d14b5,click,2024-08-23 04:45:19,Desktop,"Reidstad, Thailand"
87f805f3-8f77-4827-88c1-ceff37e6bcc6,b983fca8-2f37-4e39-ac0f-6950d1320b2b,de475ecd-03ee-400a-9202-600d167e1633,impression,2024-06-03 10:34:05,Desktop,"Lake Kristenmouth, Andorra"
900c0793-3990-4ac4-add8-17c140591058,aac0b312-04e9-4d82-892c-bdfd44e1fe52,19aecdff-b4d8-43a4-860e-c91030381c4b,click,2024-06-04 06:53:50,Tablet,"Priceborough, Costa Rica"
99edc371-33ba-405f-87c4-260baec6ac8c,30bf4354-0b8c-425b-a188-3236c83aaa18,aaed2137-80e8-4abe-80bb-a140da3b07e5,impression,2024-08-04 04:13:28,Mobile,"Port Kimland, Saint Martin"
ada2eac2-0e5d-433e-bfb3-f781b2b489f4,ac89623a-7d3f-475c-8414-e5d0c21728f0,a7695fa2-eec6-4605-ad69-a8ac0407cd55,impression,2023-08-10 06:26:41,Tablet,"Harrisberg, Turkmenistan"
8a165709-6210-4347-a6f8-3450e09a155b,da297f0e-d17d-4667-b5fb-9aa434b3810c,fce66b67-c5d4-4ed3-902c-abdee23b0702,click,2023-11-15 04:38:54,Mobile,"Aguilarside, Macedonia"
e9e6c726-1e42-4ce6-9652-aa592076b096,f817894a-7fc5-472c-ac58-b1e78c4ed15c,60c72bf4-cdd1-481d-ac53-484c76b62706,impression,2023-06-17 14:38:14,Mobile,"Lake Kristenmouth, Andorra"
eee16815-cb84-406f-871b-8fab5687f5a0,63bb5a7f-8625-42dd-8008-32a6b5efab66,ea0e2865-7110-448d-af51-a5def3fa17fb,impression,2023-12-10 09:21:29,Mobile,"East Angelaport, Slovakia (Slovak Republic)"
c8a91403-033c-4aca-88e2-a063b0f843f0,5a7b0798-0584-4d10-809a-e5925d821e2b,5de62a1a-5f88-4478-a6c4-ba22314ca873,impression,2023-06-14 01:20:37,Desktop,"Port Rachaelbury, Lithuania"
4368413a-e264-4bd0-8a52-61eb0b575ae1,6e97522c-2290-43d6-a58c-6615239a00c0,fd6a3998-1105-463f-9661-cef84d78f4b3,impression,2024-05-14 19:41:07,Mobile,"Port Kathleenport, Antigua and Barbuda"
ddea0a36-37d0-4409-92a2-21439e563469,aad3af5f-1f82-4242-b3ad-09028eeee5bb,f6de94d4-49ff-47e2-b55e-27848f0bdbdd,impression,2025-03-28 23:33:31,Desktop,"Stephensstad, Reunion"
07510c7f-d78d-4ed2-a8b6-ebd4c407a969,799b2937-d67a-41b1-91ac-93267a3e3c3b,,impression,2023-09-18 12:09:02,Mobile,"Port Lisaborough, Sudan"
e5136260-5960-4013-885c-63693e5748b7,4e3578dc-1d10-4d4d-b338-c0660b6dcd91,de5db624-2dfe-4dd9-8e56-deb6d0b4a864,impression,2024-12-31 07:36:24,Tablet,"Port Melanieport, Costa Rica"
f404e094-a780-47fe-856c-8484d3a7b40a,0a787892-344c-41d4-9583-67907cb44bec,5b9c27c7-780c-4add-9347-5b8a8b16f4dc,impression,2023-08-12 08:42:52,Mobile,"Ashleyhaven, United Arab Emirates"
2cec4c6f-6d6f-42f9-a0fe-ee10f5299ab6,8e3a76cc-dc65-4860-8699-cc5c382547c2,,click,2024-06-03 07:18:45,Mobile,"New Tonyafurt, Sao Tome and Principe"
fad142e7-828e-4e04-83ce-44096a0d2440,f11ea14f-3212-492a-a31c-d7f14fd8cd03,b6d3f887-2433-41d9-9ecd-ec652564f7cf,impression,2023-12-23 11:20:31,Tablet,"New Timothy, Lebanon"
c21b00b3-77e3-4929-a5dd-d8fde5f89e17,1f73ef5c-057a-47bc-bad5-7551d76e09be,b5412677-44de-4a6c-8a5b-63f8b5f4ddf3,impression,2024-02-11 04:02:17,Desktop,"Port Amandaborough, Japan"
bf20bb60-ea24-4ba9-bc9c-c772f9ad8c91,b983fca8-2f37-4e39-ac0f-6950d1320b2b,d98c86b9-8d15-4df7-8819-1de54a08d2d7,impression,2024-07-12 04:15:21,Desktop,"Danielshire, Cook Islands"
a206995f-8cbc-43b0-966b-d9a3f2b47641,e103203f-7925-41f7-b7af-603c469a6a26,f207d991-d998-4b86-bcf3-d3d5c029ed52,conversion,2024-08-18 08:22:36,Mobile,"North Alyssa, Algeria"
287db49d-127b-4cea-996a-fad59a73fc5e,f49e164a-c057-4d9d-917e-1a8a0442efc6,fd0a0a28-9ad8-421b-8544-736a46cdd6a3,impression,2024-11-26 11:48:14,Mobile,"Rosemouth, Nauru"
5ea427e5-50dc-4a7f-a3db-6d7115358f2a,154c32f0-e967-4119-b980-619dbbd0fee1,2db13c4a-8401-48b8-b662-66f83f2276f8,impression,2025-01-20 20:58:33,Mobile,"Fosterborough, Korea"
e599ba16-6503-4fb4-bdab-85096a90d9da,d84056cc-d050-450b-9a6a-5c970a645dc2,,impression,2024-08-30 10:09:42,Desktop,"Chambersberg, Norfolk Island"
89668393-206e-4e7b-8028-b0eee2a2a3c7,15b3448c-47cf-4a1d-867f-abda8a4e8279,,impression,2024-09-23 16:04:23,Desktop,"Carrshire, Brazil"
cba258ec-2611-4187-a086-ef6fc723bdaa,c98ac0f3-e79f-4f26-b68b-deefbeb0eabe,6e444ecd-46bf-45d8-9f40-081ce505b2b4,impression,2024-08-25 05:32:42,Desktop,"Ashleyhaven, United Arab Emirates"
9f775f19-ccd1-44fe-abcf-df5b7c745c4b,105b2381-f906-4c15-af18-f795d36805e0,fd5775cd-90d8-4d48-82cf-7649253e44cc,impression,2023-06-04 00:44:58,Desktop,"Michaelmouth, Nicaragua"
2bc1649d-1840-497c-9b44-1bed4d47baa2,9ae0fc05-4267-4ed6-8363-ab983d51db47,679a4a1b-9d8c-4ca6-9e98-ceda5814f6f1,impression,2023-12-10 14:15:12,Desktop,"South Joseph, Switzerland"
1fb8ea26-333f-4861-b179-157c9b7fe98d,f12d6551-a121-4532-9225-ac4fa1976f72,93c361e9-80df-442d-9c94-8575c033ed53,click,2024-10-07 08:32:14,Desktop,"New Timothy, Lebanon"
fab4c6d5-38e9-49d7-b690-9d0677df3fbb,048e288e-f31c-44dd-9829-49d7b45f730b,3d37dd6e-4de9-4306-82fd-7d73d690cfec,impression,2024-03-18 11:36:21,Tablet,"Port Ericmouth, Afghanistan"
cff4542a-bf79-4db0-ba38-df1738bf53b6,5ebd2c81-d8c0-4e0c-9d4e-d53f62622900,7e4d30d4-c24a-420c-bf7e-6cbc43796acf,impression,2024-10-31 15:41:07,Tablet,"East Lisa, Moldova"
e8637b0a-2cb0-4a58-acc7-18dd478478cb,be69aa0d-12ce-4fdf-a1bf-da8a95bb24fe,83b5264c-b0a7-4993-b713-c3f764f4b44f,click,2025-01-30 03:35:03,Tablet,"Port Kimland, Saint Martin"
4f9b722b-ed95-4ac9-acc5-79dbe3cbeca4,04ec5e14-6685-4d34-8482-c6c7e95b204b,1f453046-fe0f-4906-b1c7-56a69e993f39,impression,2023-10-16 00:47:54,Desktop,"Kramerton, Aruba"
ac6f4ade-17ee-4537-8c6d-0ca295acf6d7,a1d3cfff-2fb2-4fca-b890-a5f80f98c999,,click,2023-05-28 15:43:12,Desktop,"New Erin, Algeria"
f17c8344-f975-4614-b079-ec165eb54e8d,1cdd0109-7afe-4c8d-a949-472092dc72c1,a510654b-8bd2-4236-be53-e09b3a7a382c,impression,2023-10-20 13:42:28,Desktop,"Port Kathleenport, Antigua and Barbuda"
a5badbb1-e6d3-4774-8612-a034f92c1164,58830bdc-1aaa-449e-8590-9f9e94e02ed3,,impression,2023-06-19 15:23:52,Tablet,"Port Michaeltown, Libyan Arab Jamahiriya"
78cac65a-bdfc-45eb-bea3-9dba9ede93bb,8a0d500e-64f6-48ed-a3ec-fa3b8d295203,3af09400-f9ee-4ffb-9728-0c0dff480ee3,impression,2025-03-31 20:35:08,Mobile,"Amberton, Senegal"
62e7d6d0-5e14-46f6-8a25-b75b9705f514,8d95360d-87c8-4d26-b93d-8b67c4cae381,745ad828-249b-473a-b3d2-c16bf18c61f7,impression,2024-03-16 03:38:10,Desktop,"Jamesville, Estonia"
c4dc53c9-a209-42f1-b2de-da1185631e3c,a2ac30b7-8657-4d53-90b6-7022460588bd,a588af35-e0d7-4b42-b723-9f8788a121d7,impression,2023-07-12 18:25:17,Mobile,"Aguilarside, Macedonia"
bf51fb6d-afde-4684-a7bb-621db634c367,00cd2325-1b43-4cd0-bae7-7894c6fbf544,0fbbf1ad-2c28-4460-8ce6-2e7656242888,conversion,2024-03-30 19:44:19,Tablet,"Reidstad, Thailand"
c1f3c020-adbe-4b91-b3ab-139c86039e99,f43a492f-e9f6-4918-992a-abae5ce5d9ae,b27c4fd6-142f-4f1b-9436-95e4ced02afd,impression,2024-08-01 06:18:52,Desktop,"Ortizfort, Israel"
0dc6ab90-1ee6-4316-ade1-d98f88938ebc,4a7a735e-2220-486f-aaf1-28493ac5c891,94143901-744d-4814-84e4-d6d191838e2a,click,2024-07-29 13:44:01,Mobile,"Tammychester, Botswana"
63cc0a1f-f9b0-497c-a2d2-ae1a9b303d5c,ea73ddd5-2f70-4405-9687-1293accfb0af,eb15a39d-effe-4639-a7d3-894af19af60d,click,2023-05-26 10:04:58,Desktop,"West David, Gambia"
1b9d055a-d6c4-438d-9c56-cc84345c1146,a3826bbe-bdaf-4793-ba5a-f426bdf8a1f9,4e434562-b4b5-4e0d-bc8e-e5b4fce7d2e5,impression,2023-12-09 21:51:34,Desktop,"North Kaylastad, Chad"
43a30274-3493-4920-96d0-a7c4ab5ace42,61feb9b9-5627-4ae8-ab57-1f5915cc74ad,64fd2805-7b30-435b-8b2e-e92b37abfec1,click,2024-09-12 00:53:53,Tablet,"Ayalaberg, Norway"
e0155fcb-6066-45c7-85d8-e83521a21545,965e6fce-81e2-4224-b1c4-a95dfc022522,b05a6dac-3971-4445-9b56-29840af7d192,impression,2024-11-09 18:26:38,Mobile,"New Garrett, France"
8d497e98-84d4-44d3-a7b5-c42d0df542c1,f5730934-3e1e-4dc1-8ae3-828fd6898437,,impression,2024-09-05 19:15:36,Desktop,"Lake Peter, Oman"
4d3cb8ce-ad36-4c3d-8e63-f7bae3b3395b,b2a48878-f4ef-42b1-a59b-d6ceb9bceafe,dbfb6505-9eff-48b6-b705-e0e437f019c4,conversion,2024-11-08 23:08:39,Mobile,"Michaelmouth, Nicaragua"
4eb2a987-6933-43e7-bc48-b8cd04b0a215,4188759a-32a4-49c2-8306-24fa22cd0f4e,4c58e1ab-c3aa-4a0b-9441-2ec419f27bc0,impression,2023-08-28 02:33:07,Mobile,"Carrshire, Brazil"
39009649-43af-411b-a332-426edb30e8ef,7debc822-b166-489c-bf11-c9c4bef7afa5,1d3f5a05-ad53-4dd8-9a18-c14ebc721ced,click,2023-07-15 10:51:14,Mobile,"West Michelleberg, Reunion"
207f8fb2-3580-46d4-878a-cd4a007ded9a,799fcbec-8561-4d85-987a-8521b58c3af8,e48f18e2-52e8-4c73-9b61-933efd02bfeb,impression,2023-04-23 12:22:01,Mobile,"Cunninghamfort, Mayotte"
11b85d60-53c5-475f-83a0-c6a15f9d314b,6417d308-40c3-4a78-ac0c-f56f9a04243c,f27c9761-43b0-4093-86ff-572ea83ff4f9,impression,2024-10-14 12:29:55,Desktop,"East Angelaport, Slovakia (Slovak Republic)"
0a8215e1-bbc8-4d59-9a56-b0a59a9a5221,e18ce282-8341-46d2-9bc2-6616be1c1e2f,d9c4d7ab-ee64-4951-987d-b1e4e6ea4632,click,2023-07-29 06:05:17,Desktop,"New Dannyside, Swaziland"
6c01e47d-1332-4140-bfbc-8daea43d66ae,c3d4f29f-7ea5-4478-818c-fad0de1de4dd,56ae01ae-38f3-45ec-936b-e5995c2cb924,impression,2024-10-09 13:10:32,Desktop,"Lake Peter, Oman"
0f61dfc5-4d8d-40fb-95ff-a2948c04f7a5,ae332058-3ab2-42e7-8718-b5f8c509fa06,df44e9ce-6afc-4bdb-9cd4-10ebf936399f,impression,2023-04-22 11:51:56,Tablet,"Harrisberg, Turkmenistan"
61b0d572-82f8-457e-b0dc-b92e3a26c548,4efc2c61-2eaa-4414-84e9-2cf641d9a0ce,18efd655-eac2-4adf-9235-428869b1c0cb,impression,2023-08-18 22:20:11,Desktop,"Ortizfort, Israel"
7cc4ea6f-146e-45a6-a056-a8ccdb04e816,897575dc-e10d-4a87-b017-e476a1b91d20,51516f57-1730-495d-aa77-e1d4dde49934,impression,2024-05-03 06:04:57,Desktop,"Brooksland, Norfolk Island"
c539dd0c-9590-4005-96d0-2c4df1421b2f,38703614-bba8-4d15-b996-a6d9989f6784,cc82d3d2-a1c4-4f51-9f5a-9ae6cd696c8d,click,2024-01-07 23:19:37,Mobile,"Port Emily, South Georgia and the South Sandwich Islands"
1b42f009-e539-4c84-9a71-6d86ca903d55,e4f7bbc2-9468-4749-b493-08b079076e48,c81cfa6a-bb05-45aa-a849-e6936939384e,impression,2024-05-23 21:48:05,Tablet,"Bensonfort, Barbados"
2afacba5-a7ea-4bed-bb21-65f0a03546ed,1ed97c5f-7301-4b25-8b4e-fd64cf51d059,ae7be72c-0201-42c4-8d8f-bde91e821097,impression,2024-05-19 10:00:27,Tablet,"Jeffreyport, Chile"
d77731fb-3b62-4ac3-87f8-7cc1e7b84616,10253973-8452-4cd9-bcbc-d3bed8535425,a588af35-e0d7-4b42-b723-9f8788a121d7,impression,2024-12-11 20:12:44,Mobile,"Sotoburgh, Northern Mariana Islands"
3d7df132-61c3-4061-b7e0-3e6fdfc6c2a0,915516f5-06b4-4b51-ab08-fa1ca1119bc9,,impression,2025-01-11 12:54:51,Tablet,"Aguilarside, Macedonia"
c2cc3ad5-5142-491b-92ed-5125262481dd,63bb5a7f-8625-42dd-8008-32a6b5efab66,421cdd49-67cf-46ad-8d2d-ae17adfdcce0,click,2024-10-24 12:19:05,Desktop,"Ayalaberg, Norway"
b3e4b1a4-831e-441d-a32e-9102a88b3fac,420328bc-3ce8-4937-a854-988de762795b,e462092e-831d-4300-bb35-83f2ef3519f6,impression,2023-11-01 00:59:19,Desktop,"New Erin, Algeria"
91a5150a-9195-45d5-a16f-079bf744d37d,8ae3911e-004d-4af0-bf6f-36f1a545f4a2,bb1a9614-f4cd-447b-90d3-1a5f17cb395e,impression,2023-08-21 08:41:24,Desktop,"Port Monicaburgh, Haiti"
ada26f97-afca-4c4e-a0dd-118c1f6c8ba6,99685cf1-0953-48fa-bd53-c164a38be062,2f0a8ee7-c104-4cd5-90a0-dfee2ff767a9,impression,2024-01-27 12:25:25,Tablet,"Lake Matthewville, Tokelau"
373f7807-19f6-48cb-babb-6cd9dd90e1e5,58830bdc-1aaa-449e-8590-9f9e94e02ed3,486df5a7-79b5-4ba1-912f-9cc92d8c56ff,impression,2023-07-21 06:25:58,Mobile,"North Lawrenceport, Burundi"
f9f0a3f3-38b1-43e3-9408-b8a4e7d81981,59f6e13d-ad16-4e95-a3ba-33e611c6ab2f,773a57ad-3035-4e54-9f8f-66f93f85776c,impression,2024-11-16 01:07:11,Tablet,"Port Lisaborough, Sudan"
b9cd6580-821b-44ef-a464-044270a94085,77c425a2-5f28-4034-ba65-eb95a7b524b1,7951a46c-0145-4493-bc5f-c585c7779388,impression,2024-12-10 09:28:52,Mobile,"Port Amandaborough, Japan"
6f613bae-80e9-41b5-b65d-3f3317d10ecd,64dcc5b7-d86d-48df-898b-bf79bfaf06f2,,impression,2025-02-20 02:45:02,Tablet,"North Alyssa, Algeria"
15faf523-4e86-42e9-b2d4-d32c594d2b1f,6e39795b-b940-418a-9ec6-b51458a5b39b,4cc4a436-8627-43c6-8769-776017ccac8e,click,2023-11-08 10:24:29,Desktop,"South Neil, Kyrgyz Republic"
0462fe69-d013-4394-98ed-dfe96ee5f5a5,d5a54200-2f0c-4ebf-82bc-1e68920fb7d4,,impression,2024-11-02 23:11:21,Desktop,"Fosterborough, Korea"
352ef444-0522-46a2-8bdc-758b26ca4569,2fff6ffc-5888-487e-a2a9-95aeeb51196e,bee71da1-9fc3-4d63-951a-bdb2f5bba7fe,impression,2025-03-02 04:14:37,Mobile,"West David, Gambia"
14fbdd55-537a-4528-a857-8926b6253eca,60d589d9-0828-4180-a20c-7e3badec0c72,46704465-782c-4310-a2da-6f0f6f7d5ad2,impression,2023-07-14 09:00:42,Mobile,"East Sydneychester, Uruguay"
e3dd3a3b-5c16-4278-9ea0-9be8c7154713,0e6214dd-6086-4c57-a2ac-de9bb3b88afc,e3ccaf44-733a-4016-9031-1dcb612190ee,conversion,2024-12-02 20:46:40,Desktop,"New Garrett, France"
5f80f4f4-5f94-4ffa-935f-7c6bef74197c,8b8296ac-3b30-4412-8d86-497d0d062740,3514add7-e7fc-4bf6-93ed-ad0fea80a700,click,2025-03-12 15:34:44,Tablet,"South Christopher, Sri Lanka"
1a5f3fd1-a41d-4379-bb1f-6e5256e6cb49,abbac603-088b-463c-9588-41b6bf876600,a62b3a5f-d464-476d-b162-22330081cbd9,impression,2023-05-06 11:30:54,Mobile,"Amberton, Senegal"
513079a5-a593-41bb-ab49-912e218965ed,897575dc-e10d-4a87-b017-e476a1b91d20,b0cc0e58-b60e-4e01-b13a-a439030e157f,impression,2023-12-29 21:19:59,Desktop,"North Peggy, Burundi"
9dd5c0fb-be90-4316-b4e9-e79311b1e79d,5645d1cf-0d32-4686-b20d-9b8ba9825794,c81cfa6a-bb05-45aa-a849-e6936939384e,impression,2024-12-30 13:51:20,Mobile,"Bensonfort, Barbados"
08b3a9da-dd4c-4222-b307-236d49b31a87,64d3bd4c-9d54-4477-9250-c28886dc9e29,47a7a0eb-282b-43aa-a75c-acb11a5c7648,impression,2024-03-12 03:27:54,Desktop,"Reidstad, Thailand"
d57dc1b8-d1e5-459b-8f6b-954db839a2bb,2c9e88a9-020a-4a0b-8d49-a8b1ce11277b,,impression,2023-11-10 22:21:38,Tablet,"Lake Kristenmouth, Andorra"
dc85ea1c-0e58-47ff-8e5f-770eb0ad63fd,4cf6f89a-fbea-4c60-b154-9f530c69113c,443e1263-737d-49f5-83e6-c87f092b4de0,impression,2024-05-24 13:37:31,Desktop,"South Michael, Croatia"
bbc6a7d8-18e9-4842-9ec3-779e4affa3f0,ea0fecb9-1339-4380-88a0-4807bfaa9788,,click,2023-06-02 06:56:06,Tablet,"North Lawrenceport, Burundi"
3a35aaf5-7618-483a-a60c-0c1c87088469,68d95fff-7c13-4658-859e-250e17898241,c298c2a2-7437-4ea6-a527-290e99d33b33,click,2023-11-03 22:00:42,Mobile,"Hahnborough, Kazakhstan"
18d0712b-230b-483e-90ec-d68979b63a2d,7bf2c758-3758-4365-b31a-bea1b33bd5a9,,impression,2024-10-17 22:56:33,Tablet,"West Nancy, Antigua and Barbuda"
4397800a-8d70-4de3-8cdd-5759c979c2f5,40b15bc4-4d37-46f7-997e-de46219ced6d,,impression,2024-07-04 13:50:28,Tablet,"Carrshire, Brazil"
19658a19-fd98-48e4-86b0-c65b78d0adbf,6d3972c4-c5ca-4f3f-8114-d47635df42ca,7cb26a1d-ec69-45f4-914e-0d1f44098486,click,2024-08-13 02:20:05,Tablet,"South Joseph, Switzerland"
0688cc0a-8353-410e-b59e-af78883b47d7,85af6810-3b90-49b3-ba97-beb20d6ff04e,3d4c6d7a-492d-4c5f-9af1-b40e35bf96df,click,2023-06-12 12:57:52,Desktop,"South Christina, Kenya"
4d78e816-1cb9-4c9c-81c7-424fb03aacf4,df130ca4-8beb-483f-a49d-28cc84f319e9,5c0acdf4-f497-4e3e-9c34-10808fa116a1,impression,2024-05-03 01:08:09,Mobile,"Mccormickland, Kiribati"
449e9e7e-d591-476c-8218-4c55d077c7a7,f43a492f-e9f6-4918-992a-abae5ce5d9ae,2350d1e2-b65d-4053-be92-7a4e4a275c84,impression,2024-04-01 05:46:35,Desktop,"Burnsland, Monaco"
57f79818-e643-49e8-8ca3-f2b23c7c9e35,026f8ecc-bede-4f39-8ac3-c03b5e593f81,53d2002f-466f-4feb-8c7c-cbfdbb6a5a89,impression,2024-05-14 09:56:21,Tablet,"West Nancy, Antigua and Barbuda"
19f7a149-fbfa-410a-8c30-654b615958c1,7debc822-b166-489c-bf11-c9c4bef7afa5,,impression,2024-01-18 09:28:15,Tablet,"West David, Gambia"
071efea4-c2f1-49e7-93c9-d76a16d734ec,364df61f-cc76-4c27-a8a1-de1f31decf4d,d26bcd45-946d-4ae1-91e7-fd4813372b59,impression,2023-05-26 17:44:05,Desktop,"Jeffreyport, Chile"
c094f114-f3cb-4b9e-9621-16be9b7d1b3d,2fff6ffc-5888-487e-a2a9-95aeeb51196e,27d01979-4143-4b3c-ac92-7d190aa6ebf3,impression,2024-05-05 17:40:49,Desktop,"South Michael, Croatia"
9a2f1b7b-5be3-4014-a388-92d3f7848804,c705e4d6-8e9a-4c40-9579-29b82b4fdba2,e221b7d3-1d01-4a59-bdb2-46af292cd117,impression,2025-02-09 03:54:08,Tablet,"Hendersonfort, Norfolk Island"
af8a9e5f-5dd9-43e5-b6f1-a45ed63478d5,4e2cc311-7ea9-49f0-b129-59f9273a7980,3da9d005-8838-4f85-84e7-7eb3f98225b4,impression,2024-06-26 23:47:54,Desktop,"West David, Gambia"
0cb8e361-f979-4dd2-bf33-c6b3fa7ce188,f5ad482f-b905-4ab3-b006-7a755aebc4ac,00089ade-0ec6-41a6-8937-e31737ee87b0,impression,2023-08-21 07:10:10,Tablet,"West Bradleyville, Angola"
6b816c55-b7a5-4cf4-ad35-79b7cd57acbd,ae41672f-b2a7-42f0-8e5c-7878738f021b,5ecaee32-bd53-4b0b-b20c-0e5e5879380f,impression,2024-01-24 06:28:19,Desktop,"Tammychester, Botswana"
eb1c7cb7-f14f-441b-bd87-15c8f2272456,2c2f3162-3ec1-41f3-b3d3-61af35383eae,9cd60f2e-6f97-49ca-b4e4-a7c270344336,impression,2023-08-13 20:44:44,Mobile,"New Pamelatown, Guyana"
